294215.75171	6283666.49152	1.00	0.10
294215.53132	6283663.18556	1.00	0.10
294219.93926	6283663.40596	1.00	0.10
294219.27807	6283667.37310	1.00	0.10
294216.19251	6283668.47509	1.00	0.10
294217.29449	6283664.28755	1.00	0.10
294220.60045	6283669.79747	1.00	0.10
294233.16309	6283664.50794	1.00	0.10
294273.49576	6283680.81733	1.00	0.10
294273.27536	6283678.83375	1.00	0.10
294275.47933	6283680.81733	1.00	0.10
294278.78529	6283682.58051	1.00	0.10
294275.92013	6283683.68249	1.00	0.10
294274.81814	6283682.13971	1.00	0.10
294273.05496	6283682.80090	1.00	0.10
294273.93655	6283674.42581	1.00	0.10
294273.49576	6283670.01787	1.00	0.10
294264.45948	6283664.06715	1.00	0.10
294234.48547	6283667.59350	1.00	0.10
294240.65659	6283667.59350	1.00	0.10
294252.55803	6283657.45523	1.00	0.10
294214.20894	6283665.16913	1.00	0.10
294222.58403	6283670.45866	1.00	0.10
294222.14323	6283668.25469	1.00	0.10
294241.31778	6283648.63935	1.00	0.10
294249.03168	6283644.89260	1.00	0.10
294248.15009	6283647.09657	1.00	0.10
294246.82771	6283644.89260	1.00	0.10
294249.47247	6283642.90903	1.00	0.10
294251.45605	6283646.21498	1.00	0.10
294249.91327	6283646.21498	1.00	0.10
294247.70930	6283642.68863	1.00	0.10
294238.23222	6283643.12942	1.00	0.10
294236.24865	6283642.90903	1.00	0.10
294236.24865	6283639.38267	1.00	0.10
294239.33421	6283640.48466	1.00	0.10
294237.57103	6283640.48466	1.00	0.10
294237.57103	6283636.51751	1.00	0.10
