294230.07753	6283661.42238	1.00	0.1
294226.99197	6283661.20199	1.00	0.1
294230.07753	6283663.40596	1.00	0.1
294229.41634	6283665.38953	1.00	0.1
294227.87356	6283663.62635	1.00	0.1
294230.29792	6283668.03430	1.00	0.1
294228.97554	6283670.01787	1.00	0.1
294227.65316	6283668.91588	1.00	0.1
294228.53475	6283667.59350	1.00	0.1
294226.11038	6283665.60993	1.00	0.1
294231.84070	6283664.94874	1.00	0.1
294231.84070	6283661.86318	1.00	0.1
294231.84070	6283659.43881	1.00	0.1
294234.48547	6283660.98159	1.00	0.1
294233.60388	6283663.40596	1.00	0.1
294228.53475	6283659.87960	1.00	0.1
294236.46904	6283665.38953	1.00	0.1
294236.46904	6283662.08357	1.00	0.1
294238.89341	6283665.38953	1.00	0.1
294239.11381	6283661.64278	1.00	0.1
294240.65659	6283661.86318	1.00	0.1
294238.45262	6283664.28755	1.00	0.1
294238.67301	6283659.87960	1.00	0.1
294234.92626	6283658.99801	1.00	0.1
294237.13023	6283657.67563	1.00	0.1
294238.23222	6283655.69206	1.00	0.1
294241.09738	6283660.10000	1.00	0.1
294244.18294	6283660.10000	1.00	0.1
294240.21579	6283658.11643	1.00	0.1
294236.90984	6283653.92888	1.00	0.1
294234.92626	6283652.82690	1.00	0.1
294234.26507	6283651.28412	1.00	0.1
294234.26507	6283649.52094	1.00	0.1
294234.48547	6283647.97816	1.00	0.1
294234.48547	6283646.43538	1.00	0.1
294236.02825	6283650.18213	1.00	0.1
294236.02825	6283651.94531	1.00	0.1
294237.57103	6283652.38610	1.00	0.1
294238.89341	6283654.36968	1.00	0.1
294241.09738	6283656.35325	1.00	0.1
294239.55460	6283653.26769	1.00	0.1
294238.45262	6283653.04729	1.00	0.1
294238.45262	6283650.18213	1.00	0.1
294235.36706	6283644.67220	1.00	0.1
294234.26507	6283644.23141	1.00	0.1
294235.14666	6283641.14585	1.00	0.1
294235.14666	6283643.12942	1.00	0.1
294240.43619	6283652.60650	1.00	0.1
294243.30135	6283650.84332	1.00	0.1
294240.87699	6283650.84332	1.00	0.1
294243.08096	6283652.16570	1.00	0.1
294241.75857	6283653.70848	1.00	0.1
294243.74215	6283653.48809	1.00	0.1
294245.06453	6283653.26769	1.00	0.1
294245.06453	6283651.28412	1.00	0.1
294245.06453	6283654.36968	1.00	0.1
294243.74215	6283655.03087	1.00	0.1
294240.65659	6283655.69206	1.00	0.1
294243.52175	6283657.23484	1.00	0.1
294241.97897	6283658.99801	1.00	0.1
294232.72229	6283668.03430	1.00	0.1
294232.28150	6283665.60993	1.00	0.1
294230.73872	6283669.79747	1.00	0.1
294228.09395	6283671.34025	1.00	0.1
294226.33078	6283671.56065	1.00	0.1
294225.00839	6283668.91588	1.00	0.1
